"","1","Basisadresse","3"
"","2","Startspannung","10"
"","3","Beschleunigungsrate","0"
"","4","Bremsrate","0"
"","5","Maximale Spannung","255"
"","6","Mittlere Spannung","127"
"","9","PWM Periode","0"
"","28","Konfigurationsdaten BiDi","74"
"","29","Konfigurationsdaten","74"
"","33","Licht vorwärts","16"
"","34","Licht rückwärts","32"
"","35","F1","64"
"","36","F2","1"
"","37","F3","2"
"","49","Spezialeffekte LV","16"
"","50","Spezialeffekte LR","8"
"","51","Spezialeffekte F1","0"
"","52","Spezialeffekte F2","0"
"","53","Spezialeffekte F3","0"
